"USER_ID","ITEM_ID","EVENT_VALUE","TIMESTAMP","EVENT_TYPE"
"69","3827","4.0","1021643828","rate"
"69","3863","3.0","1021645473","rate"
"69","3994","4.0","1021645473","rate"
"69","4020","4.0","1021644717","rate"
"69","4022","4.0","1021647579","rate"
"69","4027","5.0","1021647538","rate"
"69","4370","2.0","1021645473","rate"
"69","4448","4.0","1021646176","rate"
"69","4643","4.0","1021645486","rate"
"69","4744","2.0","1021645405","rate"
"69","4848","4.0","1021645019","rate"
"69","4874","5.0","1021643840","rate"
"69","4876","3.0","1021645393","rate"
"69","4880","5.0","1021644746","rate"
"69","4963","3.0","1021646104","rate"
"70","36","5.0","1355198746","rate"
"70","150","4.0","1355198045","rate"
"70","246","4.5","1355198793","rate"
"70","318","4.5","1355185390","rate"
"70","356","4.0","1355198377","rate"
"70","376","1.5","1355184504","rate"
"70","508","4.5","1355198208","rate"
"70","527","5.0","1355198357","rate"
"70","529","4.5","1355198219","rate"
"70","858","5.0","1355198320","rate"
"70","953","5.0","1355198436","rate"
"70","1097","4.5","1355185283","rate"
"70","1172","5.0","1355184567","rate"
"70","1193","5.0","1355198584","rate"
"70","1210","5.0","1355198266","rate"
"70","1235","4.0","1355184600","rate"
"70","1246","5.0","1355198395","rate"
"70","1250","4.5","1355198948","rate"
"70","1253","4.0","1355184722","rate"
"70","1259","4.5","1355198298","rate"
"70","1269","3.5","1355185088","rate"
"70","1270","4.0","1355198332","rate"
"70","1272","4.0","1355184618","rate"
"70","1288","4.0","1355198452","rate"
"70","1293","5.0","1355198380","rate"
"70","1300","5.0","1355198710","rate"
"70","1302","5.0","1355198101","rate"
"70","1303","4.5","1355198940","rate"
"70","1304","4.0","1355198503","rate"
"70","1682","3.5","1355198544","rate"
"70","1704","4.5","1355185343","rate"
"70","1914","4.0","1355184983","rate"
"70","1954","4.5","1355185315","rate"
"70","1955","3.5","1355184784","rate"
"70","1959","4.5","1355184760","rate"
"70","1962","4.0","1355184587","rate"
"70","1968","4.0","1355198538","rate"
"70","2366","4.5","1355184671","rate"
"70","2858","4.0","1355185380","rate"
"70","2918","3.5","1355198410","rate"
"70","3098","4.5","1355198198","rate"
"70","3147","2.5","1355198512","rate"
"70","3152","4.0","1355198011","rate"
"70","3255","4.0","1355184544","rate"
"70","3359","5.0","1355184939","rate"
"70","3361","5.0","1355198718","rate"
"70","3468","5.0","1355198425","rate"
"70","3543","4.0","1355184875","rate"
"70","3730","4.5","1355185412","rate"
"70","4306","4.0","1355198229","rate"
"70","4995","4.5","1355198459","rate"
"70","5669","4.5","1355198821","rate"
"70","5995","4.0","1355198446","rate"
"70","7361","4.5","1355185235","rate"
"70","8949","5.0","1355198245","rate"
"70","37741","4.5","1355184928","rate"
"70","55820","4.0","1355198524","rate"
"70","63082","5.0","1355198254","rate"
"70","69757","4.0","1355185504","rate"
"70","72011","4.5","1355185183","rate"
"70","89492","4.5","1355185210","rate"
"70","91077","4.0","1355185164","rate"
"71","1","5.0","864737933","rate"
"71","7","3.0","864738008","rate"
"71","17","1.0","864737933","rate"
"71","24","2.0","864740028","rate"
"71","62","4.0","864737933","rate"
"71","86","5.0","864738119","rate"
"71","95","4.0","864737933","rate"
"71","160","3.0","864739211","rate"
"71","165","5.0","864739931","rate"
"71","208","2.0","864738913","rate"
"71","260","3.0","864737969","rate"
"71","494","4.0","864737969","rate"
"71","589","3.0","864739946","rate"
"71","608","2.0","864737969","rate"
"71","609","3.0","864738101","rate"
"71","647","4.0","864738101","rate"
"71","648","4.0","864739239","rate"
"71","707","1.0","864738101","rate"
"71","733","3.0","864737969","rate"
"71","736","5.0","864737933","rate"
"71","780","5.0","864737933","rate"
"71","788","4.0","864738008","rate"
"71","801","4.0","864738741","rate"
"71","802","5.0","864738036","rate"
"71","837","4.0","864738481","rate"
"71","852","4.0","864738060","rate"
"71","1004","3.0","864738723","rate"
"71","1036","4.0","864739931","rate"
"71","1073","3.0","864737969","rate"
"71","1101","5.0","864739360","rate"
"71","1210","3.0","864738037","rate"
"71","1240","4.0","864739946","rate"
"71","1356","5.0","864738008","rate"
"71","1370","4.0","864739931","rate"
"71","1544","3.0","864738453","rate"
"72","32","4.5","1217324825","rate"
"72","47","4.5","1217324851","rate"
"72","50","4.5","1217324720","rate"
"72","110","4.5","1217324791","rate"
"72","150","4.0","1217324795","rate"
"72","165","4.0","1217324886","rate"
"72","260","5.0","1217324775","rate"
"72","296","4.5","1217324757","rate"
"72","318","5.0","1217324771","rate"
"72","344","3.5","1217324835","rate"
"72","356","4.0","1217324762","rate"
"72","377","3.5","1217324831","rate"
"72","457","4.5","1217324789","rate"
"72","527","4.5","1217324706","rate"
"72","589","4.5","1217324801","rate"
"72","590","4.0","1217324799","rate"
"72","593","4.5","1217324766","rate"
"72","648","4.0","1217324936","rate"
"72","780","3.5","1217324805","rate"
"72","858","4.5","1217324695","rate"
"72","912","4.5","1217324689","rate"
"72","1047","3.5","1217323400","rate"
"72","1093","3.5","1217324666","rate"
"72","1193","4.0","1217324703","rate"
"72","1196","4.5","1217324882","rate"
"72","1198","4.5","1217324858","rate"
"72","1210","4.5","1217324808","rate"
"72","1216","4.0","1217323673","rate"
"72","1221","4.5","1217324698","rate"
"72","1270","4.0","1217324884","rate"
"72","1357","4.0","1217323427","rate"
"72","1586","3.0","1217323459","rate"
"72","1962","3.5","1217324659","rate"
"72","2136","2.5","1217323586","rate"
"72","2329","4.5","1217324969","rate"
"72","2427","4.5","1217323439","rate"
"72","2490","4.0","1217323422","rate"
"72","2571","5.0","1217324848","rate"
"72","2634","4.0","1217323832","rate"
"72","2805","3.5","1217323507","rate"
"72","2858","4.5","1217324839","rate"
"72","4973","5.0","1217324685","rate"
"72","27193","3.5","1217324054","rate"
"72","30825","4.0","1217323581","rate"
"72","56174","4.5","1217323649","rate"
"73","1","4.5","1464196374","rate"
"73","150","2.0","1464196379","rate"
"73","260","2.0","1464196535","rate"
"73","924","4.0","1464282755","rate"
"73","1193","5.0","1464282741","rate"
"73","1206","5.0","1464282740","rate"
"73","1682","5.0","1464196138","rate"
"73","1732","5.0","1464267306","rate"
"73","1884","3.5","1464267366","rate"
"73","2028","5.0","1464267293","rate"
"73","2321","4.0","1464196344","rate"
"73","2502","3.0","1464198229","rate"
"73","2706","3.5","1464267308","rate"
"73","2858","5.0","1464267288","rate"
"73","3535","5.0","1464267342","rate"
"73","3671","4.5","1464282765","rate"
"73","3751","2.5","1464197051","rate"
"73","3785","3.0","1464267341","rate"
"73","3793","5.0","1464267295","rate"
"73","3911","3.5","1464197118","rate"
"73","3969","4.0","1464197252","rate"
"73","4016","2.5","1464197231","rate"
"73","4025","2.0","1464197132","rate"
"73","4226","4.0","1464267291","rate"
"73","4306","2.5","1464196962","rate"
"73","4447","3.5","1464267335","rate"
"73","4878","5.0","1464267305","rate"
